"ID","Y","n","n_Total"
201,"Control",3,5
201,"Episode",2,5
202,"Control",1,2
202,"Episode",1,2
207,"Control",9,16
207,"Episode",7,16
212,"Control",3,3
213,"Control",2,2
214,"Control",5,6
214,"Episode",1,6
215,"Control",6,8
215,"Episode",2,8
217,"Control",9,10
217,"Episode",1,10
218,"Control",2,3
218,"Episode",1,3
219,"Control",27,28
219,"Episode",1,28
220,"Control",11,12
220,"Episode",1,12
222,"Control",4,6
222,"Episode",2,6
223,"Control",2,2
224,"Control",15,15
225,"Control",6,6
227,"Control",1,1
228,"Control",4,4
